0.802426	731	0	udp
0.530714	307	0	udp
0.023845	94	342	udp
0.020319	110	358	udp
0.037283	124	366	udp
-	-	-	udp
0.012401	106	150	udp
0.026568	84	318	udp
0.013774	33	132	udp
0.012356	66	324	udp
0.210420	2128	3779	tcp
0.120700	2101	5155	tcp
0.265754	2128	3779	tcp
0.042313	90	338	udp
0.013594	66	281	udp
0.201926	2111	3744	tcp
0.231396	2111	3744	tcp
0.230554	2111	3744	tcp
0.233917	2111	3744	tcp
0.233339	2111	3744	tcp
0.047878	70	158	udp
0.047267	35	108	udp
0.034852	0	0	tcp
0.031136	76	252	udp
0.022730	38	119	udp
0.016633	38	119	udp
0.154607	1899	3887	tcp
0.011769	74	118	udp
0.013579	37	118	udp
0.054409	37	118	udp
0.026017	128	237	udp
0.025095	64	157	udp
0.021655	64	157	udp
0.101981	94	328	udp
0.099112	47	235	udp
0.096078	47	235	udp
0.040609	66	324	udp
0.013987	33	132	udp
0.015589	70	170	udp
0.011384	35	119	udp
0.123662	70	172	udp
0.016493	35	115	udp
0.028776	33	82	udp
0.115119	52	124	udp
0.028214	26	94	udp
0.022001	64	256	udp
0.019792	32	125	udp
0.092564	60	286	udp
0.018529	30	168	udp
0.081247	70	202	udp
0.039210	35	128	udp
0.080522	74	418	udp
0.016927	37	184	udp
0.061449	76	332	udp
0.015780	38	183	udp
0.095496	70	155	udp
0.017429	35	104	udp
0.015687	30	114	udp
0.070819	30	103	udp
0.012156	40	109	udp
0.078902	70	306	udp
0.011438	35	174	udp
0.088373	68	156	udp
0.100821	80	168	udp
0.087425	34	107	udp
0.059387	90	450	udp
0.017232	45	200	udp
0.014390	31	115	udp
0.051637	74	194	udp
0.051320	37	93	udp
0.078227	88	376	udp
0.067819	44	131	udp
0.039008	42	291	udp
0.013641	32	57	udp
0.042701	64	108	udp
0.038549	64	108	udp
0.201602	2126	10142	tcp
0.278414	2106	5148	tcp
0.279335	2106	5148	tcp
0.022634	66	167	udp
0.012522	33	104	udp
0.047461	72	360	udp
0.011771	36	123	udp
0.047078	29	124	udp
0.055119	80	278	udp
0.042514	40	168	udp
0.033438	66	398	udp
0.019375	33	196	udp
0.044044	66	354	udp
0.040631	33	117	udp
0.018394	32	127	udp
0.051531	74	310	udp
0.039490	37	180	udp
0.245100	2108	4566	tcp
0.176442	2097	7078	tcp
0.047349	66	110	udp
0.032156	33	90	udp
0.046746	70	114	udp
0.033152	35	60	udp
0.041005	42	67	udp
0.035708	72	116	udp
0.030290	36	93	udp
0.036062	84	128	udp
0.033225	42	99	udp
0.039894	92	136	udp
0.041638	46	96	udp
0.255696	2118	4575	tcp
0.092233	66	110	udp
0.028226	33	83	udp
0.051321	88	132	udp
0.036748	44	101	udp
0.432177	2119	4549	tcp
0.054531	60	148	udp
0.053878	30	103	udp
0.099066	80	168	udp
0.011652	40	109	udp
0.022609	84	333	udp
0.040080	108	356	udp
5.004215	99	179	udp
0.075052	66	502	udp
5.095547	120	210	udp
5.083503	120	188	udp
0.042833	30	94	udp
5.078064	124	445	udp
5.098620	168	774	udp
-	-	-	udp
0.038793	86	235	udp
0.017951	43	128	udp
0.074046	70	306	udp
0.017798	35	174	udp
0.038681	68	156	udp
0.036483	34	107	udp
0.029710	33	82	udp
5.032312	116	384	udp
5.033766	128	393	udp
0.012723	86	183	udp
0.023580	33	82	udp
0.054951	74	342	udp
0.011176	45	200	udp
0.046301	90	466	udp
0.011065	31	115	udp
0.012847	96	309	udp
5.071477	168	215	udp
0.117029	441	4251	tcp
0.041256	58	146	udp
