192.168.244.1	224.0.0.251	udp	0.802426	731	0	S0
fe80::1576:7232:b5a4:2d85	ff02::fb	udp	0.530714	307	0	S0
192.168.244.128	8.8.8.8	udp	0.023845	94	342	SF
192.168.244.128	8.8.8.8	udp	0.020319	110	358	SF
192.168.244.128	8.8.8.8	udp	0.037283	124	366	SF
192.168.244.1	224.0.0.251	udp	-	-	-	S0
192.168.244.128	8.8.8.8	udp	0.012401	106	150	SF
192.168.244.128	8.8.8.8	udp	0.026568	84	318	SF
192.168.244.128	8.8.8.8	udp	0.013774	33	132	SF
192.168.244.128	8.8.8.8	udp	0.012356	66	324	SF
192.168.244.128	34.111.211.209	tcp	0.210420	2128	3779	SF
192.168.244.128	34.36.54.80	tcp	0.120700	2101	5155	RSTO
192.168.244.128	34.111.211.209	tcp	0.265754	2128	3779	SF
192.168.244.128	8.8.8.8	udp	0.042313	90	338	SF
192.168.244.128	8.8.8.8	udp	0.013594	66	281	SF
192.168.244.128	34.120.237.76	tcp	0.201926	2111	3744	SF
192.168.244.128	34.120.237.76	tcp	0.231396	2111	3744	SF
192.168.244.128	34.120.237.76	tcp	0.230554	2111	3744	SF
192.168.244.128	34.120.237.76	tcp	0.233917	2111	3744	SF
192.168.244.128	34.120.237.76	tcp	0.233339	2111	3744	SF
192.168.244.128	8.8.8.8	udp	0.047878	70	158	SF
192.168.244.128	8.8.8.8	udp	0.047267	35	108	SF
192.168.244.128	142.251.222.196	tcp	0.034852	0	0	SF
192.168.244.128	8.8.8.8	udp	0.031136	76	252	SF
192.168.244.128	8.8.8.8	udp	0.022730	38	119	SF
192.168.244.128	8.8.8.8	udp	0.016633	38	119	SF
192.168.244.128	142.251.222.196	tcp	0.154607	1899	3887	SF
192.168.244.128	8.8.8.8	udp	0.011769	74	118	SF
192.168.244.128	8.8.8.8	udp	0.013579	37	118	SF
192.168.244.128	8.8.8.8	udp	0.054409	37	118	SF
192.168.244.128	8.8.8.8	udp	0.026017	128	237	SF
192.168.244.128	8.8.8.8	udp	0.025095	64	157	SF
192.168.244.128	8.8.8.8	udp	0.021655	64	157	SF
192.168.244.128	8.8.8.8	udp	0.101981	94	328	SF
192.168.244.128	8.8.8.8	udp	0.099112	47	235	SF
192.168.244.128	8.8.8.8	udp	0.096078	47	235	SF
192.168.244.128	8.8.8.8	udp	0.040609	66	324	SF
192.168.244.128	8.8.8.8	udp	0.013987	33	132	SF
192.168.244.128	8.8.8.8	udp	0.015589	70	170	SF
192.168.244.128	8.8.8.8	udp	0.011384	35	119	SF
192.168.244.128	8.8.8.8	udp	0.123662	70	172	SF
192.168.244.128	8.8.8.8	udp	0.016493	35	115	SF
192.168.244.128	8.8.8.8	udp	0.028776	33	82	SF
192.168.244.128	8.8.8.8	udp	0.115119	52	124	SF
192.168.244.128	8.8.8.8	udp	0.028214	26	94	SF
192.168.244.128	8.8.8.8	udp	0.022001	64	256	SF
192.168.244.128	8.8.8.8	udp	0.019792	32	125	SF
192.168.244.128	8.8.8.8	udp	0.092564	60	286	SF
192.168.244.128	8.8.8.8	udp	0.018529	30	168	SF
192.168.244.128	8.8.8.8	udp	0.081247	70	202	SF
192.168.244.128	8.8.8.8	udp	0.039210	35	128	SF
192.168.244.128	8.8.8.8	udp	0.080522	74	418	SF
192.168.244.128	8.8.8.8	udp	0.016927	37	184	SF
192.168.244.128	8.8.8.8	udp	0.061449	76	332	SF
192.168.244.128	8.8.8.8	udp	0.015780	38	183	SF
192.168.244.128	8.8.8.8	udp	0.095496	70	155	SF
192.168.244.128	8.8.8.8	udp	0.017429	35	104	SF
192.168.244.128	8.8.8.8	udp	0.015687	30	114	SF
192.168.244.128	8.8.8.8	udp	0.070819	30	103	SF
192.168.244.128	8.8.8.8	udp	0.012156	40	109	SF
192.168.244.128	8.8.8.8	udp	0.078902	70	306	SF
192.168.244.128	8.8.8.8	udp	0.011438	35	174	SF
192.168.244.128	8.8.8.8	udp	0.088373	68	156	SF
192.168.244.128	8.8.8.8	udp	0.100821	80	168	SF
192.168.244.128	8.8.8.8	udp	0.087425	34	107	SF
192.168.244.128	8.8.8.8	udp	0.059387	90	450	SF
192.168.244.128	8.8.8.8	udp	0.017232	45	200	SF
192.168.244.128	8.8.8.8	udp	0.014390	31	115	SF
192.168.244.128	8.8.8.8	udp	0.051637	74	194	SF
192.168.244.128	8.8.8.8	udp	0.051320	37	93	SF
192.168.244.128	8.8.8.8	udp	0.078227	88	376	SF
192.168.244.128	8.8.8.8	udp	0.067819	44	131	SF
192.168.244.128	8.8.8.8	udp	0.039008	42	291	SF
192.168.244.128	8.8.8.8	udp	0.013641	32	57	SF
192.168.244.128	8.8.8.8	udp	0.042701	64	108	SF
192.168.244.128	8.8.8.8	udp	0.038549	64	108	SF
192.168.244.128	142.251.223.170	tcp	0.201602	2126	10142	SF
192.168.244.128	142.251.223.168	tcp	0.278414	2106	5148	RSTO
192.168.244.128	142.251.223.168	tcp	0.279335	2106	5148	RSTO
192.168.244.128	8.8.8.8	udp	0.022634	66	167	SF
192.168.244.128	8.8.8.8	udp	0.012522	33	104	SF
192.168.244.128	8.8.8.8	udp	0.047461	72	360	SF
192.168.244.128	8.8.8.8	udp	0.011771	36	123	SF
192.168.244.128	8.8.8.8	udp	0.047078	29	124	SF
192.168.244.128	8.8.8.8	udp	0.055119	80	278	SF
192.168.244.128	8.8.8.8	udp	0.042514	40	168	SF
192.168.244.128	8.8.8.8	udp	0.033438	66	398	SF
192.168.244.128	8.8.8.8	udp	0.019375	33	196	SF
192.168.244.128	8.8.8.8	udp	0.044044	66	354	SF
192.168.244.128	8.8.8.8	udp	0.040631	33	117	SF
192.168.244.128	8.8.8.8	udp	0.018394	32	127	SF
192.168.244.128	8.8.8.8	udp	0.051531	74	310	SF
192.168.244.128	8.8.8.8	udp	0.039490	37	180	SF
192.168.244.128	142.250.207.78	tcp	0.245100	2108	4566	SF
192.168.244.128	142.251.221.110	tcp	0.176442	2097	7078	RSTO
192.168.244.128	8.8.8.8	udp	0.047349	66	110	SF
192.168.244.128	8.8.8.8	udp	0.032156	33	90	SF
192.168.244.128	8.8.8.8	udp	0.046746	70	114	SF
192.168.244.128	8.8.8.8	udp	0.033152	35	60	SF
